timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1618572690438,2211,Post HTTP Request,400,Bad request,Thread Group 1-2,text,false,Test failed: code expected to contain /200/,268,414,3,3,https://petstore.swagger.io/v2/user,2211,0,1922
1618572690775,1860,Post HTTP Request,400,Bad request,Thread Group 1-3,text,false,Test failed: code expected to contain /200/,268,402,3,3,https://petstore.swagger.io/v2/user,1860,0,1583
1618572690252,2382,Post HTTP Request,400,Bad request,Thread Group 1-1,text,false,Test failed: code expected to contain /200/,268,414,3,3,https://petstore.swagger.io/v2/user,2381,0,2080
1618572692706,288,Get HTTP Request,400,Bad request,Thread Group 1-3,text,false,Test failed: text expected to contain /200/,263,233,3,3,https://petstore.swagger.io/v2/user/login,286,0,0
1618572692707,287,Get HTTP Request,400,Bad request,Thread Group 1-1,text,false,Test failed: text expected to contain /200/,263,233,3,3,https://petstore.swagger.io/v2/user/login,286,0,0
1618572692710,293,Get HTTP Request,400,Bad request,Thread Group 1-2,text,false,Test failed: text expected to contain /200/,263,233,1,1,https://petstore.swagger.io/v2/user/login,292,0,0
